30.06.2013 19:17:31: Starting interval: 3600 jobs during 3600 seconds
30.06.2013 19:17:31: second 0, jobs that second 0, active requests: 0
30.06.2013 19:17:32: second 1, jobs that second 1, active requests: 0
30.06.2013 19:17:33: second 2, jobs that second 2, active requests: 1
30.06.2013 19:17:34: second 3, jobs that second 1, active requests: 2
30.06.2013 19:17:35: second 4, jobs that second 0, active requests: 0
30.06.2013 19:17:36: second 5, jobs that second 1, active requests: 0
30.06.2013 19:17:37: second 6, jobs that second 0, active requests: 0
30.06.2013 19:17:38: second 7, jobs that second 0, active requests: 0
30.06.2013 19:17:39: second 8, jobs that second 3, active requests: 0
30.06.2013 19:17:40: second 9, jobs that second 2, active requests: 0
30.06.2013 19:17:41: second 10, jobs that second 1, active requests: 1
30.06.2013 19:17:42: second 11, jobs that second 1, active requests: 0
30.06.2013 19:17:43: second 12, jobs that second 0, active requests: 1
30.06.2013 19:17:44: second 13, jobs that second 1, active requests: 0
30.06.2013 19:17:45: second 14, jobs that second 2, active requests: 0
30.06.2013 19:17:46: second 15, jobs that second 2, active requests: 0
30.06.2013 19:17:47: second 16, jobs that second 1, active requests: 0
30.06.2013 19:17:48: second 17, jobs that second 0, active requests: 0
30.06.2013 19:17:49: second 18, jobs that second 0, active requests: 0
30.06.2013 19:17:50: second 19, jobs that second 1, active requests: 0
30.06.2013 19:17:51: second 20, jobs that second 4, active requests: 1
30.06.2013 19:17:52: second 21, jobs that second 0, active requests: 1
30.06.2013 19:17:53: second 22, jobs that second 0, active requests: 0
30.06.2013 19:17:54: second 23, jobs that second 0, active requests: 0
30.06.2013 19:17:55: second 24, jobs that second 1, active requests: 0
30.06.2013 19:17:56: second 25, jobs that second 0, active requests: 0
30.06.2013 19:17:57: second 26, jobs that second 1, active requests: 0
30.06.2013 19:17:58: second 27, jobs that second 1, active requests: 0
30.06.2013 19:17:59: second 28, jobs that second 0, active requests: 0
30.06.2013 19:18:00: second 29, jobs that second 0, active requests: 0
30.06.2013 19:18:01: second 30, jobs that second 2, active requests: 0
30.06.2013 19:18:02: second 31, jobs that second 1, active requests: 1
30.06.2013 19:18:03: second 32, jobs that second 2, active requests: 0
30.06.2013 19:18:04: second 33, jobs that second 5, active requests: 1
30.06.2013 19:18:05: second 34, jobs that second 0, active requests: 1
30.06.2013 19:18:06: second 35, jobs that second 1, active requests: 0
30.06.2013 19:18:07: second 36, jobs that second 2, active requests: 1
30.06.2013 19:18:08: second 37, jobs that second 0, active requests: 1
30.06.2013 19:18:09: second 38, jobs that second 0, active requests: 0
30.06.2013 19:18:10: second 39, jobs that second 0, active requests: 0
30.06.2013 19:18:11: second 40, jobs that second 0, active requests: 0
30.06.2013 19:18:12: second 41, jobs that second 0, active requests: 0
30.06.2013 19:18:13: second 42, jobs that second 0, active requests: 0
30.06.2013 19:18:14: second 43, jobs that second 1, active requests: 0
30.06.2013 19:18:15: second 44, jobs that second 2, active requests: 0
30.06.2013 19:18:16: second 45, jobs that second 0, active requests: 2
30.06.2013 19:18:17: second 46, jobs that second 0, active requests: 1
30.06.2013 19:18:18: second 47, jobs that second 0, active requests: 1
30.06.2013 19:18:19: second 48, jobs that second 1, active requests: 0
30.06.2013 19:18:20: second 49, jobs that second 1, active requests: 0
30.06.2013 19:18:21: second 50, jobs that second 1, active requests: 0
30.06.2013 19:18:22: second 51, jobs that second 0, active requests: 0
30.06.2013 19:18:23: second 52, jobs that second 4, active requests: 0
30.06.2013 19:18:24: second 53, jobs that second 2, active requests: 1
30.06.2013 19:18:25: second 54, jobs that second 1, active requests: 1
30.06.2013 19:18:26: second 55, jobs that second 1, active requests: 0
30.06.2013 19:18:27: second 56, jobs that second 3, active requests: 0
30.06.2013 19:18:28: second 57, jobs that second 1, active requests: 0
30.06.2013 19:18:29: second 58, jobs that second 0, active requests: 1
30.06.2013 19:18:30: second 59, jobs that second 0, active requests: 0
30.06.2013 19:18:31: second 60, jobs that second 0, active requests: 0
30.06.2013 19:18:32: second 61, jobs that second 0, active requests: 0
30.06.2013 19:18:33: second 62, jobs that second 1, active requests: 0
30.06.2013 19:18:34: second 63, jobs that second 2, active requests: 0
30.06.2013 19:18:35: second 64, jobs that second 0, active requests: 1
30.06.2013 19:18:36: second 65, jobs that second 1, active requests: 0
30.06.2013 19:18:37: second 66, jobs that second 1, active requests: 0
30.06.2013 19:18:38: second 67, jobs that second 2, active requests: 0
30.06.2013 19:18:39: second 68, jobs that second 1, active requests: 0
30.06.2013 19:18:40: second 69, jobs that second 0, active requests: 0
30.06.2013 19:18:41: second 70, jobs that second 2, active requests: 0
30.06.2013 19:18:42: second 71, jobs that second 0, active requests: 1
30.06.2013 19:18:43: second 72, jobs that second 0, active requests: 0
30.06.2013 19:18:44: second 73, jobs that second 3, active requests: 0
30.06.2013 19:18:45: second 74, jobs that second 2, active requests: 1
30.06.2013 19:18:46: second 75, jobs that second 2, active requests: 0
30.06.2013 19:18:47: second 76, jobs that second 2, active requests: 0
30.06.2013 19:18:48: second 77, jobs that second 1, active requests: 1
30.06.2013 19:18:49: second 78, jobs that second 1, active requests: 1
30.06.2013 19:18:50: second 79, jobs that second 1, active requests: 0
30.06.2013 19:18:51: second 80, jobs that second 1, active requests: 0
30.06.2013 19:18:52: second 81, jobs that second 0, active requests: 0
30.06.2013 19:18:53: second 82, jobs that second 2, active requests: 0
30.06.2013 19:18:54: second 83, jobs that second 1, active requests: 0
30.06.2013 19:18:55: second 84, jobs that second 1, active requests: 0
30.06.2013 19:18:56: second 85, jobs that second 0, active requests: 1
30.06.2013 19:18:57: second 86, jobs that second 0, active requests: 0
30.06.2013 19:18:58: second 87, jobs that second 1, active requests: 0
30.06.2013 19:18:59: second 88, jobs that second 0, active requests: 0
30.06.2013 19:19:00: second 89, jobs that second 0, active requests: 0
30.06.2013 19:19:01: second 90, jobs that second 0, active requests: 0
30.06.2013 19:19:02: second 91, jobs that second 0, active requests: 0
30.06.2013 19:19:03: second 92, jobs that second 0, active requests: 0
30.06.2013 19:19:04: second 93, jobs that second 0, active requests: 0
30.06.2013 19:19:05: second 94, jobs that second 2, active requests: 0
30.06.2013 19:19:06: second 95, jobs that second 0, active requests: 1
30.06.2013 19:19:07: second 96, jobs that second 4, active requests: 0
30.06.2013 19:19:08: second 97, jobs that second 1, active requests: 1
30.06.2013 19:19:09: second 98, jobs that second 0, active requests: 0
